TIME,BIKE_S_CUM,BIKE_N_CUM
2018-8-23 00:00:00,0,0
2018-8-23 00:05:00,0,0
2018-8-23 00:10:00,0,0
2018-8-23 00:15:00,0,0
2018-8-23 00:20:00,0,0
2018-8-23 00:25:00,0,0
2018-8-23 00:30:00,0,0
2018-8-23 00:35:00,0,0
2018-8-23 00:40:00,0,0
2018-8-23 00:45:00,0,0
2018-8-23 00:50:00,0,0
2018-8-23 00:55:00,0,0
2018-8-23 01:00:00,0,0
2018-8-23 01:05:00,0,0
2018-8-23 01:10:00,0,0
2018-8-23 01:15:00,0,0
2018-8-23 01:20:00,0,0
2018-8-23 01:25:00,0,0
2018-8-23 01:30:00,0,0
2018-8-23 01:35:00,0,0
2018-8-23 01:40:00,0,1
2018-8-23 01:45:00,0,1
2018-8-23 01:50:00,0,1
2018-8-23 01:55:00,0,1
2018-8-23 02:00:00,0,1
2018-8-23 02:05:00,0,1
2018-8-23 02:10:00,0,1
2018-8-23 02:15:00,0,1
2018-8-23 02:20:00,0,1
2018-8-23 02:25:00,0,1
2018-8-23 02:30:00,0,1
2018-8-23 02:35:00,0,1
2018-8-23 02:40:00,0,1
2018-8-23 02:45:00,0,1
2018-8-23 02:50:00,0,1
2018-8-23 02:55:00,0,1
2018-8-23 03:00:00,0,1
2018-8-23 03:05:00,0,1
2018-8-23 03:10:00,0,1
2018-8-23 03:15:00,0,1
2018-8-23 03:20:00,0,1
2018-8-23 03:25:00,0,1
2018-8-23 03:30:00,0,1
2018-8-23 03:35:00,0,1
2018-8-23 03:40:00,0,1
2018-8-23 03:45:00,0,1
2018-8-23 03:50:00,0,1
2018-8-23 03:55:00,0,1
2018-8-23 04:00:00,1,1
2018-8-23 04:05:00,1,1
2018-8-23 04:10:00,1,1
2018-8-23 04:15:00,1,1
2018-8-23 04:20:00,1,1
2018-8-23 04:25:00,1,1
2018-8-23 04:30:00,1,1
2018-8-23 04:35:00,1,1
2018-8-23 04:40:00,1,1
2018-8-23 04:45:00,1,2
2018-8-23 04:50:00,1,2
2018-8-23 04:55:00,1,2
2018-8-23 05:00:00,1,2
2018-8-23 05:05:00,1,2
2018-8-23 05:10:00,1,2
2018-8-23 05:15:00,1,3
2018-8-23 05:20:00,1,3
2018-8-23 05:25:00,1,3
2018-8-23 05:30:00,1,3
2018-8-23 05:35:00,1,4
2018-8-23 05:40:00,1,4
2018-8-23 05:45:00,1,4
2018-8-23 05:50:00,1,4
2018-8-23 05:55:00,1,4
2018-8-23 06:00:00,1,4
2018-8-23 06:05:00,1,4
2018-8-23 06:10:00,1,4
2018-8-23 06:15:00,1,4
2018-8-23 06:20:00,1,4
2018-8-23 06:25:00,1,4
2018-8-23 06:30:00,1,4
2018-8-23 06:35:00,1,4
2018-8-23 06:40:00,1,4
2018-8-23 06:45:00,1,4
2018-8-23 06:50:00,1,4
2018-8-23 06:55:00,1,4
2018-8-23 07:00:00,1,4
2018-8-23 07:05:00,1,4
2018-8-23 07:10:00,2,4
2018-8-23 07:15:00,2,4
2018-8-23 07:20:00,3,4
2018-8-23 07:25:00,3,4
2018-8-23 07:30:00,3,4
2018-8-23 07:35:00,3,4
2018-8-23 07:40:00,5,4
2018-8-23 07:45:00,5,4
2018-8-23 07:50:00,5,4
2018-8-23 07:55:00,5,4
2018-8-23 08:00:00,6,4
2018-8-23 08:05:00,7,4
2018-8-23 08:10:00,8,4
2018-8-23 08:15:00,9,5
2018-8-23 08:20:00,10,5
2018-8-23 08:25:00,12,5
2018-8-23 08:30:00,13,5
2018-8-23 08:35:00,14,5
2018-8-23 08:40:00,14,5
2018-8-23 08:45:00,14,5
2018-8-23 08:50:00,14,5
2018-8-23 08:55:00,14,5
2018-8-23 09:00:00,14,5
2018-8-23 09:05:00,14,5
2018-8-23 09:10:00,14,5
2018-8-23 09:15:00,14,5
2018-8-23 09:20:00,14,5
2018-8-23 09:25:00,14,5
2018-8-23 09:30:00,14,5
2018-8-23 09:35:00,14,5
2018-8-23 09:40:00,14,5
2018-8-23 09:45:00,14,5
2018-8-23 09:50:00,14,5
2018-8-23 09:55:00,14,5
2018-8-23 10:00:00,14,5
2018-8-23 10:05:00,14,5
